latitude,longitude,country,admin_1,admin_2,admin_3,admin_4
-1.95749332,115.26955442,印尼,中加里曼丹省,Barito Timur,Awang,Ampari
-1.91117811,115.30226926,印尼,中加里曼丹省,Barito Timur,Awang,Apar Batu
-2.01479685,115.22750082,印尼,中加里曼丹省,Barito Timur,Awang,Bangkirayen
-1.94415374,115.24423458,印尼,中加里曼丹省,Barito Timur,Awang,Biwan
-1.95324174,115.2610548,印尼,中加里曼丹省,Barito Timur,Awang,Danau
-1.97009589,115.22775665,印尼,中加里曼丹省,Barito Timur,Awang,Hayaping
-1.98074609,115.18930631,印尼,中加里曼丹省,Barito Timur,Awang,Janah Jari
-1.92627909,115.26691489,印尼,中加里曼丹省,Barito Timur,Awang,Janah Mansiwui
-1.98055898,115.28397384,印尼,中加里曼丹省,Barito Timur,Awang,Pianggu
-2.01802807,115.26715178,印尼,中加里曼丹省,Barito Timur,Awang,Tangkan
-1.98503286,115.25554983,印尼,中加里曼丹省,Barito Timur,Awang,Wungkur Nanakan
-2.20101621,115.28153161,印尼,中加里曼丹省,Barito Timur,Banua Lima,Bagok
-2.16362333,115.27521753,印尼,中加里曼丹省,Barito Timur,Banua Lima,Bamban
-2.20107991,115.25997297,印尼,中加里曼丹省,Barito Timur,Banua Lima,Banyu Landas
-2.21504391,115.28905116,印尼,中加里曼丹省,Barito Timur,Banua Lima,Gudang Seng
-2.18135518,115.25091147,印尼,中加里曼丹省,Barito Timur,Banua Lima,Kandris
-2.22679235,115.16775299,印尼,中加里曼丹省,Barito Timur,Banua Lima,Pasar Panas/Taniran
-2.12273288,115.28910122,印尼,中加里曼丹省,Barito Timur,Banua Lima,Tewah Pupuh
-1.81737331,115.14275664,印尼,中加里曼丹省,Barito Timur,Dusun Tengah,Ampah II
-1.78190739,115.16171923,印尼,中加里曼丹省,Barito Timur,Dusun Tengah,Ampah Kota
-1.6985824,115.30143036,印尼,中加里曼丹省,Barito Timur,Dusun Tengah,Muara Awang
-1.76867174,115.22208956,印尼,中加里曼丹省,Barito Timur,Dusun Tengah,Netampin
