name,name_zh,latitude,longitude,source
Abepura,阿貝普拉,-2.607407,140.679409,wikidata
Agats,阿加特斯,-5.586344,138.130521,wikidata
Aimas,埃玛斯,-0.974484,131.326553,wikidata
Aimere,艾梅雷,-8.833319,120.879890,naer
Ajibarang,亚芝巴珑,-7.411059,109.079715,wikidata
Amahai,阿馬亥,-3.355411,129.147429,naer
Ambarawa,安巴拉瓦,-5.414852,104.950144,naer
Ambarawa,安巴拉瓦,-7.267764,110.408162,naer
Ambulu,安布如,-8.401718,113.612626,naer
Ambunten,安邦登,-6.911791,113.747488,naer
Ampenan,安佩南,-8.567839,116.081536,naer
Anggana,安加納,-0.647445,117.441839,naer
Anjongan,安榮岸,0.322585,109.180080,wikidata
Anyar,安耶爾,-6.077115,105.914677,wikidata
Badas,巴達斯,-7.723580,112.196732,naer
Bajawa,巴加瓦,-8.796104,120.973488,naer
Bakongan,巴康安,2.937040,97.472010,naer
Balantak,巴蘭塔克,-0.885197,123.349272,naer
Balige,巴利蓋,2.329627,99.077603,wikidata
Bambel,班貝爾,3.447118,97.849923,naer
Banggai,望涯,-1.592745,123.524656,naer
Bangil,邦吉爾,-7.595227,112.788793,naer
Bangkalan,萬加蘭,-7.036010,112.737935,naer
Bangkinang,邦金榔,0.420835,101.007795,naer
Bangko,邦科,-2.088973,102.296893,naer
Bangko,邦科,2.176560,100.852134,naer
Banjar,班贾尔,-6.372236,106.094943,osm
Banjar,班贾尔,-7.366821,108.509496,osm
Banjar,班贾尔,-8.211346,115.006183,osm
Bantaeng,班塔恩,-5.539998,119.958788,naer
Bantul,班图尔,-7.898888,110.342439,wikidata
Banyumas,班紐馬斯,-5.281925,104.917826,naer
Banyumas,班紐馬斯,-7.521273,109.285896,naer
Banyuwangi,外南夢,-8.216183,114.366841,wikidata
Barabai,巴拉拜,-2.579196,115.386465,naer
Barus,巴魯斯,2.018798,98.402142,wikidata
Baso,巴索,-0.271947,100.484627,naer
Batanghari,巴當哈里,-5.142893,105.384905,naer
Batudaka,峇都達卡,-0.488740,121.704712,naer
Batui,巴都伊,-1.256598,122.472677,naer
Batujaya,巴圖爪雅村,-6.065306,107.199306,wikidata
Baturetno,巴都雷諾,-7.968908,110.946843,naer
Baula,包拉,-4.168409,121.673332,naer
Bayan,巴央,-7.733892,109.936343,naer
Bayan,巴央,-8.272568,116.364812,naer
Belinyu,勿里洋,-1.610847,105.742090,naer
Belopa,貝羅帕,-3.387948,120.362855,naer
Bengkalis,孟加里,1.462237,102.196194,naer
Bengkayang,孟卡揚,0.827366,109.505551,naer
Benteng,本騰,-6.118073,120.465789,naer
Benua,貝奴雅,-4.244927,122.121292,naer
Beo,貝歐,4.234411,126.800308,naer
Berastagi,貝拉斯塔吉,3.188966,98.512306,naer
Besitang,貝夕坦,4.040329,98.160520,naer
Besuki,貝蘇基,-7.752915,113.689825,naer
Besuki,貝蘇基,-8.234903,111.782954,naer
Binjai,民禮,3.667720,98.456432,osm
Blangkejeren,布朗克杰倫,3.983540,97.340228,naer
Blangpidie,布朗皮迪,3.735278,96.851695,naer
Blora,布洛拉,-6.959609,111.430728,naer
Bojonegoro,波佐內戈羅,-7.156435,111.890340,naer
Bokat,波卡特,1.060286,121.518927,naer
Bondowoso,朋多窩索,-7.926942,113.823789,naer
Bonjol,文惹,-0.046032,100.214258,naer
Borobudur,婆羅佛塔,-7.617710,110.196893,naer
Brebes,布雷貝斯,-6.876072,109.043147,naer
Buleleng,布勒倫,-8.124316,115.098421,naer
Bulu,布魯,-6.840335,111.366502,naer
Bulu,布魯,-7.309782,110.113623,naer
Bulu,布魯,-7.760346,110.834329,naer
Bumiayu,务米亚由,-7.249146,108.995296,wikidata
Buru,布路,0.912755,103.477426,naer
Cakung,查貢,-6.204842,106.934844,wikidata
