name_norm,name_zh,country_code,latitude,longitude,feature_hint
a baiuca,阿拜烏卡,ES,43.300000,8.500000,false
a barrela,阿巴雷拉,ES,42.533333,-7.816667,false
a carballa,卡巴雅,ES,42.600000,-8.966667,false
a carreira,卡雷拉,ES,43.116667,-8.883333,false
a coruna,科魯涅,ES,43.366667,-8.383333,false
a cruz de incio,克魯茲因休,ES,42.650000,-7.350000,false
a fonsagrada,楓沙格拉達,ES,43.133333,-7.066667,false
a forxa galicia,弗沙加里西亞,ES,43.000000,-8.000000,false
a gandara,干達拉,ES,43.150000,-9.150000,false
a guardaya,瓜達亞,ES,28.016667,-14.633333,false
a iglesia,伊格列夕亞,ES,43.033333,-7.150000,false
a peroxa,佩羅沙,ES,42.433333,-7.783333,false
a pontenova,龐提諾瓦,ES,43.450000,-7.183333,false
a ramallosa,阿馬佑沙,ES,42.800000,-8.533333,false
a rua,魯亞,ES,43.533333,-7.266667,false
a serra de outes,塞拉歐提斯,ES,43.166667,-8.416667,false
a teixeira,特瑟伊拉,PT,41.450000,-6.500000,false
a yun,阿雲河,VN,13.400000,108.466667,true
a yun pa,阿雲帕,VN,13.516667,108.633333,false
a-dos-cunhados,阿多昆哈多斯,PT,39.150000,-9.300000,false
aa,阿河,,51.683333,5.316667,true
aa,阿河,CH,47.116667,8.883333,true
aa,阿河,FR,51.016667,2.100000,true
aabenraa,奧本勞,DK,55.033333,9.433333,false
aabybro,奧比布洛,DK,57.150000,9.750000,false
aach,阿赫,DE,47.833333,8.866667,false
aachen,亞琛,DE,50.766667,6.100000,false
aadan yabaal,阿丹雅巴,SO,3.783333,46.250000,false
aadorf,阿多夫,CH,47.483333,8.900000,false
aafjord,奧夫佑,NO,63.950000,10.200000,false
aaiun,阿尤恩,,27.133333,-13.166667,false
aakirkeby,奧克開比,DK,55.066667,14.933333,false
aakra,奧克拉,NO,59.783333,6.100000,false
aakrehamn,奧克雷哈姆,NO,59.266667,5.183333,false
aal,奧爾,NO,60.633333,8.566667,false
aalbaek,奧爾貝克,DK,57.600000,10.433333,false
aalborg,奧爾堡,DK,57.050000,9.933333,false
aalborg bugt,奧爾堡灣,DK,56.750000,10.500000,true
aalen,奧林,NO,62.850000,11.283333,false
aalen,阿倫,DE,48.833333,10.100000,false
aalestrup,奧來斯特盧,DK,56.700000,9.500000,false
aalesund,奧勒孫,NO,62.466667,6.150000,false
aaley,阿來,LB,33.800000,35.600000,false
aalgaard,奧爾加德,NO,58.766667,5.850000,false
aalsmeer,阿斯美爾,NL,52.266667,4.766667,false
aalst,阿斯特,BE,50.933333,4.033333,false
aalten,阿爾廷,NL,51.933333,6.583333,false
aalter,阿爾特,BE,51.083333,3.450000,false
aalvik,奧維克,NO,60.433333,6.433333,false
aamdals vaerk,奧達斯沃克,NO,59.366667,8.050000,false
aamli,奧母利,NO,58.750000,8.533333,false
aamose,奧莫斯,DK,55.583333,11.450000,false
aamot,奧莫特,NO,61.616667,6.733333,false
aanekoski,艾內科斯基,FI,62.633333,25.666667,false
aansluit,安斯路特,ZA,-29.300000,23.600000,false
aaqerbate,阿夸巴特,SY,35.033333,37.450000,false
aarau,亞牢,CH,47.383333,8.050000,false
aarberg,阿爾柏,CH,47.050000,7.283333,false
aarburg,亞爾堡,CH,47.316667,7.900000,false
aardal,奧達爾,NO,61.550000,6.350000,false
aardalstangen,奧達斯坦根,NO,61.233333,7.716667,false
aardenburg,亞丁堡,NL,51.283333,3.450000,false
aare,奧雷,SE,63.416667,13.083333,false
aare,阿爾河,CH,47.600000,8.216667,true
aargau,亞高,CH,47.333333,8.166667,false
aarhus,奧爾路斯,DK,56.150000,10.216667,false
aarhus,奧胡斯,DK,56.166667,10.216667,false
aarhus bugt,奧胡斯灣,DK,56.150000,10.300000,true
aarle,阿雷,NL,51.516667,5.633333,false
aarnes,奧內斯,NO,64.583333,11.266667,false
aars,奧斯,DK,56.816667,9.533333,false
aarschot,阿爾斯霍特,BE,50.983333,4.833333,false
aartselaar,阿爾翠臘,BE,51.133333,4.383333,false
aarup,奧魯,DK,57.083333,9.466667,false
aarviksand,奧維克聖,NO,70.200000,20.533333,false
aarwangen,阿旺根,CH,47.233333,7.750000,false
aasa,奧沙,SE,57.366667,12.166667,false
aasarna,奧沙納,SE,62.666667,14.333333,false
aasbro,奧斯布羅,SE,59.000000,15.050000,false
aase,奧塞,NO,69.016667,15.800000,false
aaseda,奧塞達,SE,57.166667,15.333333,false
aaseral,奧塞拉爾,NO,58.616667,7.416667,false
aaskal,奧斯卡爾,NO,68.850000,23.183333,false
