longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
129.34517,36.10945,大韩民国,庆尚北道,Buk,"",""
127.33667,36.35389,大韩民国,大田,大田,"",""
129.3185,36.00446,大韩民国,庆尚北道,南区,"",""
128.46821,37.18447,大韩民国,江原道,寧越郡,"",""
128.63083,36.82167,大韩民国,庆尚北道,榮州市,"",""
127.7665,36.0213,大韩民国,忠清北道,永同郡,"",""
126.51181,35.27814,大韩民国,全罗南道,靈光郡,"",""
127.77639,36.175,大韩民国,忠清北道,Yŏng-dong,"",""
129.37,36.41366,大韩民国,庆尚北道,盈德郡,"",""
128.93083,35.9675,大韩民国,庆尚北道,永川市,"",""
126.95283,36.11962,大韩民国,全罗北道,益山市,"",""
126.98778,34.88953,大韩民国,全罗南道,和順郡,"",""
127.07727,38.10113,韩国 / 南韓,京畿道,漣川邑,"",""
127.63389,37.29583,大韩民国,京畿道,驪州市,"",""
126.84272,36.67756,大韩民国,忠清南道,禮山郡,"",""
128.45514,36.6574,大韩民国,庆尚北道,醴泉郡,"",""
129.03358,35.34199,大韩民国,庆尚南道,梁山市,"",""
127.49056,37.48972,大韩民国,京畿道,楊平郡,"",""
127.06169,37.83311,韩国 / 南韓,京畿道,楊州市,회천신도시,""
127.98944,38.10583,韩国 / 南韓,江原道,楊口邑,"",""
127.94528,37.35139,大韩民国,江原道,原州市,"",""
127.14752,35.84509,大韩民国,全罗北道,全州市,"",""
128.39785,35.99251,大韩民国,庆尚北道,倭館邑,"",""
129.31667,35.53722,大韩民国,蔚山广域市,蔚山,"",""
127.0474,37.7415,韩国 / 南韓,京畿道,議政府市,"",議政府洞
129.08477,35.20159,大韩民国,釜山,釜山广域市,"",""
127.13028,35.07,大韩民国,全罗南道,和順郡,"",""
126.62972,36.89444,大韩民国,忠清南道,唐津市,"",""
126.98389,35.31889,大韩民国,全罗南道,潭陽郡,"",""
126.4542,36.9714,大韩民国,忠清南道,瑞山市,"",""
127.38493,36.34913,韩国 / 南韓,"",大田,屯山1洞,炭坊洞
128.59111,35.87028,大韩民国,大邱,大邱廣域市,"",""
126.59772,36.34931,大韩民国,忠清南道,Taisen-ri,"",""
128.9889,37.1759,大韩民国,江原道,太白市,"",""
127.00889,37.29111,大韩民国,京畿道,水原市,"",""
127.48784,34.9505,大韩民国,全罗南道,順天市,"",""
126.9784,37.566,大韩民国,首尔,首爾,"",Sajik-dong
126.45222,36.78167,大韩民国,忠清南道,瑞山市,"",""
128.2975,36.24083,大韩民国,庆尚北道,Gumi,"",""
127.13139,36.91556,大韩民国,忠清南道,Seobuk,"",""
128.59181,38.20701,韩国 / 南韓,江原道,束草市,"",琴湖洞
126.23304,37.71871,大韩民国,仁川廣域市,江华郡,"",""
127.43111,36.45361,韩国 / 南韓,"",大田,新灘津洞,新灘津洞
127.72248,36.23734,大韩民国,忠清北道,永同郡,"",""
128.16056,36.41528,大韩民国,庆尚北道,尚州市,"",""
127.98521,34.72423,大韩民国,庆尚南道,南海郡,"",""
129.17083,37.44056,大韩民国,江原道,三陟市,"",""
127.08889,36.99472,大韩民国,京畿道,平澤市,"",""
128.39306,37.37028,大韩民国,江原道,平昌郡,"",""
126.90906,36.27472,大韩民国,忠清南道,扶餘郡,"",""
129.03004,35.10168,大韩民国,釜山,釜山广域市,"",""
126.78306,37.49889,韩国 / 南韓,京畿道,富川市,"",""
126.73194,35.72806,大韩民国,全罗北道,扶安郡,"",""
127.34052,34.84897,大韩民国,全罗南道,寶城郡,"",""
129.36481,36.02917,大韩民国,庆尚北道,浦项市,"",""
126.87533,37.84902,大韩民国,京畿道,坡州市,"",""
126.603,36.14029,大韩民国,忠清南道,舒川郡,"",""
127.07056,37.15222,大韩民国,京畿道,烏山市,"",""
127.00417,36.78361,大韩民国,忠清南道,牙山市,"",""
127.568,36.3012,大韩民国,忠清北道,沃川郡,"",""
128.4676,38.37881,韩国 / 南韓,江原道,杆城邑,"",""
127.08472,36.20389,大韩民国,忠清南道,論山市,"",""
127.38583,35.41,大韩民国,全罗北道,南原市,"",""
127.05,35.93333,大韩民国,全罗北道,益山市,"",""
126.7175,35.0292,大韩民国,全罗南道,羅州市,"",""
126.785,37.85944,大韩民国,京畿道,文山邑,"",""
128.19946,36.59458,大韩民国,庆尚北道,聞慶市,"",""
128.10833,36.73528,大韩民国,庆尚北道,聞慶市,"",""
126.47899,34.99014,大韩民国,全罗南道,Muan,"",""
126.39181,34.81282,大韩民国,全罗南道,靈岩郡,"",""
128.74889,35.49333,大韩民国,庆尚南道,密陽市,"",""
126.83149,35.12725,大韩民国,光州,Seo,"",""
128.73778,35.82333,韩国 / 南韓,庆尚北道,慶山市,"",三南洞
129.21167,35.84278,大韩民国,庆尚北道,慶州市,"",""
127.58917,34.97528,大韩民国,全罗南道,光陽市,"",""
127.25722,37.41,大韩民国,京畿道,光州廣域市,"",""
126.91556,35.15472,大韩民国,光州,光州廣域市,"",""
127.27065,35.67463,大韩民国,全罗北道,任實郡,"",""
129.55377,35.98994,大韩民国,庆尚北道,南区,"",""
127.46444,35.20944,大韩民国,全罗南道,Kurye,"",""
127.1394,37.5986,大韩民国,京畿道,九里市,"",""
128.57278,36.23472,大韩民国,庆尚北道,Kunwi,"",""
126.71139,35.97861,大韩民国,全罗北道,群山市,"",""
126.94694,37.3675,大韩民国,京畿道,安阳市,"",""
127.48889,36.10306,韩国 / 南韓,忠清南道,錦山邑,"",""
128.336,36.1136,韩国 / 南韓,庆尚北道,龜尾市,"",""
126.835,37.65639,大韩民国,京畿道,高陽市,"",""
128.32361,34.97631,大韩民国,庆尚南道,Goseong,"",""
127.12472,36.45556,大韩民国,忠清南道,公州市,"",""
128.58861,34.85028,大韩民国,庆尚南道,巨濟市,"",""
127.79472,36.81083,大韩民国,忠清北道,槐山郡,"",""
126.7,35.43333,大韩民国,全罗北道,高敞郡,"",""
126.88889,35.80167,大韩民国,全罗北道,金堤市,"",""
128.88111,35.23417,韩国 / 南韓,庆尚南道,金海市,"",Seosang-dong
128.11981,36.12176,大韩民国,庆尚北道,金泉市,"",""
129.21389,35.24417,大韩民国,釜山,机张郡,"",""
127.51059,37.83101,韩国 / 南韓,京畿道,加平邑,"",""
128.87239,37.75266,大韩民国,江原道,江陵市,"",""
126.48556,37.74722,大韩民国,仁川廣域市,江华郡,"",""
129.5011,35.80538,韩国 / 南韓,庆尚北道,慶州市,"",""
126.95444,35.94389,大韩民国,全罗北道,益山市,"",""
126.70515,37.45646,韩国 / 南韓,"",仁川廣域市,九月1洞,""
127.27944,35.61306,大韩民国,全罗北道,任實郡,"",""
127.4425,37.27917,大韩民国,京畿道,利川市,"",""
128.44608,35.69557,大韩民国,大邱,Dalseong,"",""
126.98746,35.06125,大韩民国,全罗南道,和順郡,"",""
126.8169,37.20682,大韩民国,京畿道,Hwaseong,"",""
127.70632,38.10705,韩国 / 南韓,江原道,華川邑,"",""
126.665,36.6009,大韩民国,忠清南道,洪城郡,"",""
127.8857,37.6918,大韩民国,江原道,洪川郡,"",""
128.82,35.91333,大韩民国,庆尚北道,慶山市,"",""
127.00028,34.97411,大韩民国,全罗南道,和順郡,"",""
126.59889,34.57111,大韩民国,全罗南道,海南郡,"",""
127.9919,36.21712,大韩民国,忠清北道,永同郡,"",""
127.9287,36.97666,大韩民国,忠清北道,清州市,"",""
127.73417,37.87472,大韩民国,江原道,春川市,"",""
128.82583,37.89139,大韩民国,江原道,江陵市,"",""
127.2175,38.20917,韩国 / 南韓,江原道,Hwaji-ri,"",""
127.14889,35.82194,大韩民国,全罗北道,全州市,"",""
126.80365,36.45156,大韩民国,忠清南道,青陽郡,"",""
129.057,36.43351,大韩民国,庆尚北道,青松郡,"",""
127.79366,36.34655,韩国 / 南韓,忠清北道,Jijeon-ri,"",""
127.4174,37.7355,大韩民国,京畿道,加平郡,"",""
127.07021,38.02596,韩国 / 南韓,京畿道,全谷邑,"",""
127.48972,36.63722,大韩民国,忠清北道,清原郡,"",""
127.1522,36.8065,大韩民国,忠清南道,天安市,"",""
128.08472,35.19278,大韩民国,庆尚南道,晋州市,"",""
127.31719,36.30029,大韩民国,大田,수북면,"",""
127.44333,36.85667,大韩民国,忠清北道,镇川郡,"",""
127.42528,35.79167,韩国 / 南韓,全北特別自治道,Gunha-ri,"",""
126.20753,35.06132,韩国 / 南韓,全羅南道,智島邑,"",""
126.52194,33.50972,大韩民国,済州道,济州市,"",""
128.68111,35.22806,大韩民国,庆尚南道,昌原市,"",""
127.51523,35.64842,大韩民国,全罗北道,長水郡,"",""
126.78444,35.29778,大韩民国,全罗南道,長城郡,"",""
127.01792,35.23904,大韩民国,全罗南道,潭陽郡,"",""
126.90694,34.68164,韩国 / 南韓,全羅南道,長興邑,"",""
129.24244,35.31296,大韩民国,釜山,机张郡,"",""
126.92694,37.3925,大韩民国,京畿道,安阳市,"",""
127.27028,37.01083,大韩民国,京畿道,安城市,"",""
126.82194,37.32361,韩国 / 南韓,京畿道,安山市,"",""
128.72275,36.56636,大韩民国,庆尚北道,An-dong,"",""
126.31833,33.46444,韩国 / 南韓,济州特别自治道,濟州市,"",""
128.62667,34.8825,大韩民国,庆尚南道,巨濟市,"",""
127.61964,36.24613,大韩民国,忠清北道,沃川郡,"",""
127.66215,34.76062,韩国 / 南韓,全羅南道,麗水市,"",Hak-dong
127.69569,34.9414,大韩民国,全罗南道,Kwangyang,"",""
126.48952,34.85258,大韩民国,全罗南道,務安郡,"",""
126.42038,35.28401,大韩民国,全罗南道,靈光郡,"",""
126.44531,35.39587,大韩民国,全罗南道,靈光郡,"",""
126.96405,36.07595,韩国 / 南韓,全北特別自治道,益山市,"",""
127.1,36.12944,大韩民国,忠清南道,論山市,"",""
129.10694,37.54389,大韩民国,江原道,Donghae,"",""
129.33911,36.19797,大韩民国,庆尚北道,Buk,"",""
129.41222,35.97046,大韩民国,庆尚北道,南区,"",""
129.23349,35.264,大韩民国,釜山,机张郡,"",""
127.50778,37.29167,大韩民国,京畿道,利川市,"",""
127.13778,37.43861,大韩民国,京畿道,城南市,"",""
127.20556,37.54,大韩民国,京畿道,河南市,"",""
127.3075,37.6525,大韩民国,京畿道,南楊州市,"",""
127.21417,37.63667,大韩民国,京畿道,南楊州市,"",""
129.16861,35.40611,大韩民国,庆尚南道,梁山市,"",""
127.22028,37.58972,韩国 / 南韓,京畿道,南楊州市,"",""
128.52,35.24972,大韩民国,庆尚南道,Masanhoewon,"",""
128.50083,35.80167,大韩民国,大邱,大邱,"",""
126.86639,37.47722,大韩民国,京畿道,Saemkkumi,"",가리봉동
126.81694,37.83278,大韩民国,京畿道,坡州市,"",""
126.10863,34.8262,大韩民国,全罗南道,新安郡,"",""
126.94778,37.36528,大韩民国,京畿道,安阳市,"",""
126.56181,33.25333,大韩民国,済州道,西歸浦市,"",""
