latitude,longitude,country,admin_1,admin_2,admin_3,admin_4
9.31676,99.69184,泰国,素叻他尼府,Don Sak,"",""
16.31489,99.83267,泰国,甘烹碧府,Thung Sai,"",""
8.42045,99.39517,泰国,洛坤府,Ban Plai Ra,"",""
7.88481,98.40008,泰国,普吉府,普吉市,"",""
7.88489,98.38557,泰国,普吉府,普吉市,"",""
12.27081,99.87203,泰国,巴蜀府,Sam Roi Yot,"",""
8.72206,99.74878,泰国,洛坤府,Na Reng,"",""
14.49058,99.70714,泰国,北碧府,Ban Nong Pradu,"",""
8.07228,99.29225,泰国,甲米府,Lam Thap,"",""
18.07861,98.035,泰国,夜丰颂府,Mueang Yuam Tai,"",""
19.36586,99.20187,泰国,清迈府,Phrao,"",Ban Chaeng Ku Rueang
19.11712,98.94176,泰国,清迈府,Ban San Maha Phon,"",""
20.02883,99.29833,泰国,清迈府,Mae Ai,"",Ban Mae Ai Luang
13.11189,99.94467,泰国,碧武里府,Phetchaburi,"",""
19.34597,99.814,泰国,帕堯府,Mae Chai,"",Ban Mae Chai Pong
7.38622,99.66692,泰国,董里府,Yan Ta Khao,"",""
8.63585,99.3666,泰国,素叻他尼府,Wiang Sa,"",""
19.34778,99.50722,泰国,清莱府,Wiang Pa Pao,"",Ban Hua Wiang
19.557,98.6425,泰国,清迈府,Ban Wiang Haeng,"",""
19.88361,99.93314,泰国,清莱府,Wiang Chai,"",Ban Chaiyaphum
13.45407,99.88637,泰国,Ratchaburi Province,Wat Phleng,"",""
7.73631,99.3987,泰国,董里府,Wang Wiset,"",""
19.14678,99.61933,泰国,南邦府,Wang Nuea,"",""
14.37514,99.89225,泰国,素攀府,U Thong,"",""
16.01622,98.8627,泰国,達府,Umphang,"",""
7.55633,99.61141,泰国,董里府,董里市,"",""
8.30119,99.36611,泰国,洛坤府,Thung Yai,"",""
10.11022,99.08306,泰国,春蓬府,Thung Tako,"",""
8.16453,99.68039,泰国,洛坤府,彤松区,"",""
17.32106,99.56092,泰国,素可泰府,Thung Saliam,"",""
14.74345,98.63101,泰国,北碧府,Thong Pha Phum,"",""
17.61289,99.21612,泰国,南邦府,Thoen,"",Ban Don Chai
17.22708,98.22572,泰国,達府,Mae Tan,"",""
8.66733,99.93078,泰国,洛坤府,Tha Sala,"",""
10.66461,99.17281,泰国,春蓬府,Tha Sae,"",""
15.46063,99.89166,泰国,烏泰他尼府,Thap Than,"",""
11.49964,99.6217,泰国,巴蜀府,Thap Sakae,"",""
8.51625,98.63972,泰国,攀牙府,Thap Put,"",""
6.79014,99.97005,泰国,沙敦府,Ban Tha Nam Khem Tai,"",""
13.96118,99.64122,泰国,北碧府,Tha Muang,"",""
13.9,99.76667,泰国,北碧府,Wai Niao,"",""
8.03169,98.33408,泰国,普吉府,Thep Krasatti,"",""
8.39914,98.26061,泰国,攀牙府,Thai Mueang,"",Ban Talat Thai Mueang
9.26418,99.19218,泰国,素叻他尼府,Tha Chang,"",""
9.57203,99.16586,泰国,素叻他尼府,Tha Chana,"",""
8.38373,98.45123,泰国,攀牙府,Takua Thung,"",""
8.8705,98.34383,泰国,攀牙府,Takua Pa,"",""
16.86968,99.12898,泰国,達府,Tak,"",""
