longitude,latitude,country,admin_1,admin_2,admin_3,admin_4
120.54333,23.70944,臺灣,雲林縣,斗六市,"",""
120.25556,23.02444,臺灣,臺南市,永康里,"",""
120.54594,23.92148,臺灣,彰化縣,永靖鄉,"",""
120.46138,23.12493,臺灣,臺南市,玉井里,"",""
120.57608,23.95671,臺灣,彰化縣,員林市,"",""
121.3507,24.95608,臺灣,新北市,鶯歌區,南鶯里,""
121.55133,24.86397,臺灣,新北市,烏來區,烏來里,""
120.698,24.0637,臺灣,臺中市,霧峰區,本堂里,""
120.49965,23.75751,臺灣,雲林縣,莿桐鄉,"",""
120.15003,23.45689,臺灣,嘉義縣,東石鄉,"",""
120.44927,22.46515,臺灣,屏東縣,東港鎮,"",""
120.68766,23.97699,臺灣,南投縣,草屯鎮,"",""
120.90942,24.68753,臺灣,苗栗縣,頭份市,"",""
120.524,23.8927,臺灣,彰化縣,田尾鄉,"",""
120.5857,23.85808,臺灣,彰化縣,田中鎮,"",""
121.3187,24.9896,臺灣,桃園市,建國里,"",""
121.4429,25.17196,臺灣,新北市,淡水區,中興里,""
121.14457,22.75991,臺灣,臺東縣,臺東市,"",""
121.52639,25.05306,臺灣,臺北市,中山區,康樂里,""
120.33222,23.45944,臺灣,嘉義縣,太保市,"",""
120.31056,23.30694,臺灣,臺南市,三仙里,"",""
120.21333,22.99083,臺灣,臺南市,東門里,"",""
120.71694,24.25,臺灣,臺中市,豐原區,富春里,""
120.6839,24.1469,臺灣,臺中市,北區,新興里,""
121.29043,24.88373,臺灣,桃園市,田心里,"",""
121.42199,24.99085,臺灣,新北市,樹林區,樹西里,""
121.65546,24.99301,臺灣,新北市,"",石碇區,潭邊里
121.56623,25.29035,臺灣,新北市,尖鹿村,石門區,石門里
120.58831,23.89804,臺灣,彰化縣,社頭鄉,"",""
118.23046,24.42758,臺灣,金門縣,烈嶼鄉,"",""
121.46719,25.01427,臺灣,新北市,板橋區,福丘里,""
121.37139,24.93448,臺灣,新北市,三峽區,秀川里,""
121.50182,25.25782,臺灣,新北市,三芝區,埔頭里,""
120.5725,24.21013,臺灣,臺中市,沙鹿區,埔子里,""
120.16154,23.37795,臺灣,嘉義縣,布袋鎮,"",""
120.96952,23.96639,臺灣,南投縣,埔里鎮,"",""
120.44472,23.48556,臺灣,嘉義市,西區,慶安里,""
120.47858,23.895,臺灣,彰化縣,埤頭鄉,"",""
120.48814,22.67135,臺灣,屏東縣,屏東市,本町,""
121.7103,24.9352,臺灣,新北市,坪林區,坪林里,""
120.52426,23.87292,臺灣,彰化縣,北斗鎮,"",""
120.30162,23.5701,臺灣,雲林縣,北港鎮,"",""
121.28372,24.92981,臺灣,桃園市,興仁里,"",""
121.26139,24.9725,臺灣,桃園市,興仁里,"",""
121.58809,25.0815,臺灣,臺北市,內湖區,湖濱里,""
120.66387,23.91566,臺灣,南投縣,南投市,"",""
120.82367,24.56427,臺灣,苗栗縣,苗栗市,"",""
119.58627,23.5654,臺灣,澎湖縣,馬公市,"",""
120.7525,23.74639,臺灣,南投縣,鹿谷鄉,"",""
120.61885,23.7615,臺灣,雲林縣,林內鄉,"",""
121.16278,23.04778,臺灣,臺東縣,關山鎮,"",""
120.36126,22.62659,臺灣,高雄市,鳳山區,光明里,""
120.31333,22.61626,臺灣,高雄市,前鎮區,忠孝里,""
121.753,24.757,臺灣,宜蘭縣,宜蘭市,"",""
121.60444,23.97694,臺灣,花蓮縣,花蓮市,"",""
121.53892,24.96005,臺灣,新北市,新店區,廣明里,""
120.96861,24.80361,臺灣,新竹市,"","",""
118.42111,24.43944,臺灣,金門縣,金湖鎮,"",""
120.46337,23.79891,臺灣,雲林縣,西螺鎮,"",""
120.47918,23.95683,臺灣,彰化縣,溪湖鎮,"",""
121.65985,25.06615,臺灣,新北市,汐止區,秀峰里,""
120.74389,22.00417,臺灣,屏東縣,恆春鎮,"",""
120.68917,24.27667,臺灣,臺中市,神岡區,溪洲里,""
