latitude,longitude,country,admin_1,admin_2,admin_3,admin_4
36.65648109,127.25086476,南韓,世宗,全東面,,
36.66127743,127.18821515,南韓,世宗,全義面,,
36.49485844,127.2447918,南韓,世宗,多情洞,,
36.47042533,127.27419162,南韓,世宗,大坪洞,,
36.47776701,127.28990421,南韓,世宗,寶藍洞,,
36.5029701,127.20766313,南韓,世宗,將軍面,,
36.71430311,127.16913196,南韓,世宗,小井面,,
36.51443575,127.26046556,南韓,世宗,嶋潭洞,,
36.5012886,127.26399036,南韓,世宗,御珍洞,,
36.47325164,127.24938803,南韓,世宗,扞率洞,,
36.48546284,127.24912947,南韓,世宗,新羅洞,,
36.53149364,127.27390324,南韓,世宗,海密洞,,
36.54461373,127.25033645,南韓,世宗,燕岐面,,
36.55281544,127.32936387,南韓,世宗,燕東面,,
36.58447204,127.24593219,南韓,世宗,燕西面,,
36.51365112,127.32176724,南韓,世宗,盤谷洞,,
36.48434212,127.30109569,南韓,世宗,素潭洞,,
36.50019775,127.28507569,南韓,世宗,羅城洞,,
36.52393488,127.37856127,南韓,世宗,芙江面,,
36.45183283,127.29836678,南韓,世宗,錦南面,,
36.50352036,127.2476927,南韓,世宗,鍾村洞,,
36.51772123,127.2496446,南韓,世宗,阿凜洞,,
36.51869706,127.23554394,南韓,世宗,高運洞,,
36.60797371,127.28674311,南韓,世宗,鳥致院邑,,
37.59424404,127.14346618,南韓,京畿道,九里市,수택2동,
37.59811303,127.14809759,南韓,京畿道,九里市,수택1동,
37.58613887,127.1337955,南韓,京畿道,九里市,교문2동,
37.58109143,127.11831145,南韓,京畿道,九里市,교문1동,
37.60834388,127.12846134,南韓,京畿道,九里市,인창동,
37.62487655,127.13675333,南韓,京畿道,九里市,동구동,
37.63139181,127.11778462,南韓,京畿道,九里市,갈매동,
37.58101889,127.14928864,南韓,京畿道,九里市,수택3동,
37.46722693,126.83885701,南韓,京畿道,光明市,광명6동,
37.44465486,126.88721126,南韓,京畿道,光明市,소하1동,
37.43482578,126.87661618,南韓,京畿道,光明市,소하2동,
37.42019243,126.88276385,南韓,京畿道,光明市,일직동,
37.46470921,126.87427493,南韓,京畿道,光明市,하안2동,
37.42950254,126.85504787,南韓,京畿道,光明市,학온동,
37.467179,126.88023605,南韓,京畿道,光明市,하안4동,
37.48742646,126.86177234,南韓,京畿道,光明市,광명1동,
37.48275492,126.85786634,南韓,京畿道,光明市,광명2동,
37.48016676,126.8560484,南韓,京畿道,光明市,광명3동,
37.47798498,126.85436582,南韓,京畿道,光明市,광명4동,
37.47703504,126.84854066,南韓,京畿道,光明市,광명5동,
37.46057766,126.88284986,南韓,京畿道,光明市,하안3동,
37.46580649,126.85139283,南韓,京畿道,光明市,광명7동,
37.48915536,126.86907266,南韓,京畿道,光明市,철산1동,
37.48348426,126.86720631,南韓,京畿道,光明市,철산2동,
37.47547567,126.87143321,南韓,京畿道,光明市,철산3동,
37.47244223,126.86335706,南韓,京畿道,光明市,철산4동,
37.4574149,126.86629038,南韓,京畿道,光明市,하안1동,
37.28822075,127.42169762,南韓,京畿道,利川市,관고동,
37.32564094,127.48276794,南韓,京畿道,利川市,백사면,
37.31374855,127.4105674,南韓,京畿道,利川市,신둔면,
37.27311718,127.50681444,南韓,京畿道,利川市,부발읍,
37.29003828,127.45396865,南韓,京畿道,利川市,증포동,
37.13451799,127.59643191,南韓,京畿道,利川市,장호원읍,
37.24337202,127.45029987,南韓,京畿道,利川市,중리동,
37.28349701,127.44547081,南韓,京畿道,利川市,창전동,
37.07564837,127.54719774,南韓,京畿道,利川市,율면,
37.13946269,127.523081,南韓,京畿道,利川市,설성면,
37.17085438,127.45684494,南韓,京畿道,利川市,모가면,
37.21284814,127.49777426,南韓,京畿道,利川市,대월면,
37.24976304,127.37086247,南韓,京畿道,利川市,마장면,
37.21538027,127.41204967,南韓,京畿道,利川市,호법면,
37.86705093,127.37180744,南韓,京畿道,加平郡,조종면,
37.79046091,127.33794125,南韓,京畿道,加平郡,상면,
37.72948113,127.42943454,南韓,京畿道,加平郡,청평면,
37.65315001,127.49965989,南韓,京畿道,加平郡,설악면,
37.82856107,127.48751555,南韓,京畿道,加平郡,가평읍,
37.94428721,127.49449868,南韓,京畿道,加平郡,북면,
37.69380239,127.2314572,南韓,京畿道,南楊州市,오남읍,
37.70970795,127.12630995,南韓,京畿道,南楊州市,별내면,
37.72624581,127.30417563,南韓,京畿道,南楊州市,수동면,
37.66637262,127.11440808,南韓,京畿道,南楊州市,별내동,
37.5974028,127.169048,南韓,京畿道,南楊州市,다산2동,
37.61127673,127.19149459,南韓,京畿道,南楊州市,양정동,
37.632176,127.21238252,南韓,京畿道,南楊州市,금곡동,
37.64644638,127.23530718,南韓,京畿道,南楊州市,평내동,
37.6639489,127.24948555,南韓,京畿道,南楊州市,호평동,
37.5943054,127.24700504,南韓,京畿道,南楊州市,와부읍,
37.7256317,127.19296531,南韓,京畿道,南楊州市,진접읍,
37.65281503,127.3155613,南韓,京畿道,南楊州市,화도읍,
37.65786667,127.18523927,南韓,京畿道,南楊州市,진건읍,
37.61872812,127.15673131,南韓,京畿道,南楊州市,다산1동,
37.56750548,127.29852587,南韓,京畿道,南楊州市,조안면,
37.65346797,127.14339862,南韓,京畿道,南楊州市,퇴계원읍,
37.86743076,126.89284656,南韓,京畿道,坡州市,법원읍,
37.80347897,126.70684876,南韓,京畿道,坡州市,탄현면,
37.7975184,126.78932688,南韓,京畿道,坡州市,월롱면,
37.75042193,126.82307406,南韓,京畿道,坡州市,조리읍,
37.71083182,126.74619542,南韓,京畿道,坡州市,운정3동,
37.77639815,126.88296228,南韓,京畿道,坡州市,광탄면,
37.91420239,126.85070237,南韓,京畿道,坡州市,파평면,
37.95813972,126.92942881,南韓,京畿道,坡州市,적성면,
37.75119105,126.77575178,南韓,京畿道,坡州市,금촌2동,
37.7344518,126.70934194,南韓,京畿道,坡州市,교하동,
37.71476536,126.7223488,南韓,京畿道,坡州市,운정6동,
37.72439167,126.77603663,南韓,京畿道,坡州市,운정4동,
37.92057374,126.74147844,南韓,京畿道,坡州市,장단면,
37.82822816,126.8153802,南韓,京畿道,坡州市,파주읍,
37.87411697,126.78053467,南韓,京畿道,坡州市,문산읍,
37.76081905,126.78266926,南韓,京畿道,坡州市,금촌1동,
37.77989721,126.74838389,南韓,京畿道,坡州市,금촌3동,
37.72910371,126.718923,南韓,京畿道,坡州市,운정5동,
37.73183317,126.75867005,南韓,京畿道,坡州市,운정1동,
37.72683331,126.74014222,南韓,京畿道,坡州市,운정2동,
37.41305991,127.12603145,南韓,京畿道,城南市,분당구,야탑1동
37.43898996,127.16321903,南韓,京畿道,城南市,중원구,상대원3동
37.34273002,127.12166508,南韓,京畿道,城南市,분당구,구미동
37.4679898,127.14671929,南韓,京畿道,城南市,수정구,위례동
37.38189135,127.05865269,南韓,京畿道,城南市,분당구,운중동
37.36274741,127.09630565,南韓,京畿道,城南市,분당구,금곡동
37.44082465,127.14045946,南韓,京畿道,城南市,수정구,신흥1동
37.44990505,127.1479585,南韓,京畿道,城南市,수정구,신흥2동
37.35240483,127.09336362,南韓,京畿道,城南市,분당구,구미1동
37.44291954,127.14646171,南韓,京畿道,城南市,수정구,신흥3동
37.4455463,127.12301511,南韓,京畿道,城南市,수정구,태평1동
37.44756514,127.13639835,南韓,京畿道,城南市,수정구,태평2동
37.40153332,127.10914902,南韓,京畿道,城南市,분당구,삼평동
37.38707618,127.09260651,南韓,京畿道,城南市,분당구,판교동
37.4042731,127.15027749,南韓,京畿道,城南市,분당구,야탑3동
37.39889756,127.12219079,南韓,京畿道,城南市,분당구,이매2동
37.39471105,127.13270481,南韓,京畿道,城南市,분당구,이매1동
37.37519207,127.13742838,南韓,京畿道,城南市,분당구,서현2동
37.38531186,127.14959124,南韓,京畿道,城南市,분당구,서현1동
37.35783911,127.12256275,南韓,京畿道,城南市,분당구,정자3동
37.36663752,127.11848303,南韓,京畿道,城南市,분당구,정자2동
37.37518162,127.12314899,南韓,京畿道,城南市,분당구,수내2동
37.37897272,127.11598815,南韓,京畿道,城南市,분당구,수내1동
37.3882499,127.11027466,南韓,京畿道,城南市,분당구,백현동
37.36943345,127.10632365,南韓,京畿道,城南市,분당구,정자1동
37.36486167,127.12943528,南韓,京畿道,城南市,분당구,수내3동
37.44557106,127.13208012,南韓,京畿道,城南市,수정구,태평3동
37.36846289,127.1440516,南韓,京畿道,城南市,분당구,분당동
37.43986221,127.15214385,南韓,京畿道,城南市,중원구,중앙동
37.36680164,127.11151241,南韓,京畿道,城南市,분당구,정자동
37.41918846,127.16092987,南韓,京畿道,城南市,중원구,도촌동
37.40764591,127.12749204,南韓,京畿道,城南市,분당구,야탑2동
37.42792062,127.14608241,南韓,京畿道,城南市,중원구,하대원동
37.4483767,127.14082559,南韓,京畿道,城南市,수정구,태평4동
37.43833949,127.13580901,南韓,京畿道,城南市,수정구,수진1동
37.43649825,127.12563404,南韓,京畿道,城南市,수정구,수진2동
37.45455039,127.15707718,南韓,京畿道,城南市,수정구,단대동
37.45682002,127.15266669,南韓,京畿道,城南市,수정구,산성동
37.46434767,127.16623007,南韓,京畿道,城南市,수정구,양지동
37.4587881,127.13048742,南韓,京畿道,城南市,수정구,복정동
37.45063921,127.10399236,南韓,京畿道,城南市,수정구,신촌동
37.4293045,127.0811216,南韓,京畿道,城南市,수정구,고등동
37.41200237,127.08347997,南韓,京畿道,城南市,수정구,시흥동
37.43130527,127.13285665,南韓,京畿道,城南市,중원구,성남동
37.44428933,127.16609931,南韓,京畿道,城南市,중원구,금광1동
37.44939099,127.16850511,南韓,京畿道,城南市,중원구,금광2동
37.45243955,127.16685411,南韓,京畿道,城南市,중원구,은행1동
37.46112908,127.1745752,南韓,京畿道,城南市,중원구,은행2동
37.4401329,127.18005726,南韓,京畿道,城南市,중원구,상대원1동
37.4359479,127.15766155,南韓,京畿道,城南市,중원구,상대원2동
37.41215014,126.77378786,南韓,京畿道,始興市,신현동,
37.376845,126.73056924,南韓,京畿道,始興市,배곧1동,
37.45346533,126.79950572,南韓,京畿道,始興市,대야동,
37.43850871,126.78007318,南韓,京畿道,始興市,신천동,
37.36325825,126.71645297,南韓,京畿道,始興市,배곧2동,
37.4328719,126.80774208,南韓,京畿道,始興市,은행동,
37.38222463,126.78348464,南韓,京畿道,始興市,장곡동,
37.40589374,126.82382754,南韓,京畿道,始興市,매화동,
37.38022756,126.85289143,南韓,京畿道,始興市,목감동,
37.4320023,126.8344063,南韓,京畿道,始興市,과림동,
37.32207702,126.69738619,南韓,京畿道,始興市,거북섬동,
37.34088928,126.72167157,南韓,京畿道,始興市,정왕2동,
37.34550461,126.70634619,南韓,京畿道,始興市,정왕3동,
37.36255314,126.73136294,南韓,京畿道,始興市,정왕4동,
37.35843926,126.75228338,南韓,京畿道,始興市,정왕본동,
