latitude,longitude,country,admin_1,admin_2,admin_3,admin_4
12.9453867,99.94108159,泰國,佛丕府,塔央縣,Ban Nai Dong,
12.69840477,99.72425871,泰國,佛丕府,塔央縣,Khao Krapuk,
12.77676796,99.70175054,泰國,佛丕府,塔央縣,Klat Luang,
12.97620706,99.9381955,泰國,佛丕府,塔央縣,Map Pla Khao,
12.93813686,99.96833265,泰國,佛丕府,塔央縣,Nong Chok,
12.94258814,100.0139864,泰國,佛丕府,塔央縣,Puek Tian,
12.92156669,99.87240747,泰國,佛丕府,塔央縣,Tha Khoi,
12.96436967,99.83472471,泰國,佛丕府,塔央縣,Tha Laeng,
12.84725871,99.81432986,泰國,佛丕府,塔央縣,Tha Mai Ruak,
12.95325561,99.90415962,泰國,佛丕府,塔央縣,Tha Yang,
12.91643802,99.80146971,泰國,佛丕府,塔央縣,Wang Khrai,
12.99059993,99.8834351,泰國,佛丕府,塔央縣,Yang Yong,
12.87108362,100.00013657,泰國,佛丕府,差安縣,Bang Kao,
12.74414951,99.95165424,泰國,佛丕府,差安縣,Cha-Am,
12.86090337,99.89107569,泰國,佛丕府,差安縣,Don Khun Huai,
12.71543867,99.83152974,泰國,佛丕府,差安縣,Huai Sai Nuea,
12.79838375,99.90102118,泰國,佛丕府,差安縣,Khao Yai,
12.87744961,99.94747119,泰國,佛丕府,差安縣,Na Yang,
12.89953701,99.9879347,泰國,佛丕府,差安縣,Nong Sala,
12.65203194,99.80320063,泰國,佛丕府,差安縣,Rai Mai Phatthana,
12.680676,99.88772815,泰國,佛丕府,差安縣,Sam Phraya,
12.88155436,99.37209082,泰國,佛丕府,根格拉占縣,Huai Mae Phriang,
12.95681775,99.60116985,泰國,佛丕府,根格拉占縣,Kaeng Krachan,
12.65281752,99.50110091,泰國,佛丕府,根格拉占縣,Pa Deng,
13.00395065,99.7080873,泰國,佛丕府,根格拉占縣,Phu Sawan,
12.85308964,99.61517159,泰國,佛丕府,根格拉占縣,Song Phi Nong,
12.94270562,99.73607347,泰國,佛丕府,根格拉占縣,Wang Chan,
13.07755225,99.91690196,泰國,佛丕府,班拉縣,Ban Hat,
13.05787776,99.92500449,泰國,佛丕府,班拉縣,Ban Lat,
13.08415358,99.82276774,泰國,佛丕府,班拉縣,Ban Than,
13.03788941,99.81534295,泰國,佛丕府,班拉縣,Huai Khong,
13.01176725,99.79241736,泰國,佛丕府,班拉縣,Huai Luek,
13.10384005,99.89515853,泰國,佛丕府,班拉縣,Lat Pho,
13.0605066,99.8137808,泰國,佛丕府,班拉縣,Nong Kapu,
12.99970808,99.95328539,泰國,佛丕府,班拉縣,Nong Krachet,
13.11122746,99.82148326,泰國,佛丕府,班拉縣,Rai Khok,
13.0204132,99.93826811,泰國,佛丕府,班拉縣,Rai Makham,
13.0273501,99.86539538,泰國,佛丕府,班拉縣,Rai Sathon,
13.07760927,99.88054987,泰國,佛丕府,班拉縣,Rong Khe,
13.06087722,99.95295733,泰國,佛丕府,班拉縣,Samo Phlue,
13.09528649,99.87823684,泰國,佛丕府,班拉縣,Saphan Krai,
13.02687153,99.89239293,泰國,佛丕府,班拉縣,Tamru,
13.05609503,99.8992558,泰國,佛丕府,班拉縣,Tha Chang,
13.04719642,99.93612905,泰國,佛丕府,班拉縣,Tha Sen,
13.01825551,99.91333435,泰國,佛丕府,班拉縣,Tham Rong,
13.20775078,99.97929212,泰國,佛丕府,班蘭縣,Ban Laem,
13.1028017,100.04904957,泰國,佛丕府,班蘭縣,Bang Kaeo,
13.2050691,99.9339868,泰國,佛丕府,班蘭縣,Bang Khrok,
13.16109709,100.01662657,泰國,佛丕府,班蘭縣,Bang Khun Sai,
13.25895254,99.91250114,泰國,佛丕府,班蘭縣,Bang Tabun,
